name,canvas_user_id,user_id,sections,group_name,canvas_group_id,group_id
"Hicks, Paul",1064584,1472178,IDS 798.01.Fa25,A,22002,
"Frazier, John",1386257,1312895,IDS 798.01.Fa25,B,22003,
"Wilson, Marcus",1449490,1166191,IDS 798.01.Fa25,C,22004,
"Page, Christopher",1218828,1047346,IDS 798.01.Fa25,D,22016,
"Jackson, Tiffany",1089878,1073625,STA 698.01.Fa25,E,22005,
"Robbins, Nathan",1284766,1333543,IDS 798.01.Fa25,F,22015,
"Russell, Dillon",1221782,1295025,IDS 798.01.Fa25,G,22006,
"Spears, Troy",1122033,1364362,IDS 798.01.Fa25,H,22007,
"Scott, William",1143374,1381425,STA 698.01.Fa25,E,22005,
"Silva, James",1242704,1006294,IDS 798.01.Fa25,D,22016,
"Mcintyre, Julie",1106136,1036470,IDS 798.01.Fa25,D,22016,
"Holt, Rachel",1388643,1036879,IDS 798.01.Fa25,I,22008,
"Sherman, Corey",1138552,1126493,IDS 798.01.Fa25,J,22009,
"Leon, Cody",1021914,1438659,IDS 798.01.Fa25,K,22010,
"Taylor, Denise",1401568,1080226,IDS 798.01.Fa25,I,22008,
"Skinner, Mary",1449347,1269549,IDS 798.01.Fa25,B,22003,
"Liu, Kenneth",1438270,1266326,IDS 798.01.Fa25,L,22011,
"Murray, Donna",1261209,1120174,STA 698.01.Fa25,K,22010,
"Lee, Katie",1218482,1341627,IDS 798.01.Fa25,C,22004,
"Williams, Margaret",1048943,1457261,IDS 798.01.Fa25,L,22011,
"Yates, Katrina",1114254,1241476,IDS 798.01.Fa25,J,22009,
"Espinoza, Mark",1051791,1309151,STA 698.01.Fa25,I,22008,
"Thompson, Michael",1098308,1459430,STA 698.01.Fa25,J,22009,
"Hawkins, Jacob",1461330,1252984,IDS 798.01.Fa25,M,22012,
"Vance, Jack",1292764,1211874,IDS 798.01.Fa25,I,22008,
"Murphy, Troy",1095961,1354978,IDS 798.01.Fa25,N,22013,
"Shaffer, Adam",1190361,1106233,STA 698.01.Fa25,G,22006,
"Martinez, Alejandro",1184717,1032917,IDS 798.01.Fa25,O,22014,
"Miller, Joseph",1130223,1227868,IDS 798.01.Fa25,C,22004,
"Irwin, William",1152669,1020571,IDS 798.01.Fa25,K,22010,
"Price, Melissa",1334031,1163181,STA 698.01.Fa25,K,22010,
"Jones, Kelly",1219677,1228887,IDS 798.01.Fa25,C,22004,
"Mueller, Katrina",1411147,1209097,IDS 798.01.Fa25,C,22004,
"Gates, Kendra",1311317,1453470,STA 698.01.Fa25,O,22014,
"Sanchez, John",1468186,1100867,IDS 798.01.Fa25,B,22003,
"Holloway, Tonya",1000026,1106515,IDS 798.01.Fa25,O,22014,
"Campbell, Brent",1320989,1355954,IDS 798.01.Fa25,K,22010,
"Green, Stephanie",1295625,1136847,IDS 798.01.Fa25,O,22014,
"Villanueva, Daniel",1119627,1252131,IDS 798.01.Fa25,N,22013,
"Brown, Christopher",1376015,1215173,IDS 798.01.Fa25,F,22015,
"Ramirez, Steven",1288134,1108722,IDS 798.01.Fa25,E,22005,
"Kelly, Juan",1294145,1263421,IDS 798.01.Fa25,J,22009,
"Lewis, Andrew",1050092,1185239,IDS 798.01.Fa25,F,22015,
"Baker, Monica",1100873,1223295,IDS 798.01.Fa25,L,22011,
"Ingram, Elizabeth",1482816,1475400,IDS 798.01.Fa25,N,22013,
"Young, Judith",1257513,1355244,IDS 798.01.Fa25,E,22005,
"Johnson, Brenda",1297607,1214457,STA 698.01.Fa25,A,22002,
"Roberts, Kelly",1427014,1014747,IDS 798.01.Fa25,B,22003,
"West, Gerald",1049275,1453937,STA 698.01.Fa25,M,22012,
"Parker, Jason",1043459,1345135,IDS 798.01.Fa25,H,22007,
"Mathews, Timothy",1110354,1296856,IDS 798.01.Fa25,J,22009,
"Ward, Kayla",1218019,1262675,IDS 798.01.Fa25,A,22002,
"Pollard, Michael",1498760,1203424,IDS 798.01.Fa25,H,22007,
"Byrd, Felicia",1439302,1404324,STA 698.01.Fa25,D,22016,
"Jackson, Holly",1105895,1358746,STA 698.01.Fa25,G,22006,
"Williams, Kimberly",1490397,1130547,IDS 798.01.Fa25,F,22015,
"Jackson, Maurice",1457554,1430619,IDS 798.01.Fa25,B,22003,
"Decker, Daniel",1001352,1462440,IDS 798.01.Fa25,L,22011,
"Ewing, Steven",1045334,1275589,IDS 798.01.Fa25,M,22012,
"Wilson, Ray",1079246,1117100,IDS 798.01.Fa25,M,22012,
"Mccormick, Sherri",1151041,1422422,STA 698.01.Fa25,E,22005,
"Shaw, Frank",1320914,1109087,IDS 798.01.Fa25,O,22014,
"Carroll, Cody",1102765,1389142,IDS 798.01.Fa25,N,22013,
"Hall, Bridget",1341096,1290834,STA 698.01.Fa25,M,22012,
"Jennings, Susan",1266346,1376698,IDS 798.01.Fa25,L,22011,
